"股票代號","股票名稱","年度","中文簡稱","英文簡稱","公司名稱","英文名稱","地址","電話","傳真機號碼","註冊地國名","訴訟代理人","訴訟代理人電話","訴訟代理人地址","實收資本額(百萬)","成立日期","上市日期","上櫃日期","興櫃日期","公發日期","存續年度","董事長","總經理","發言人","發言人職稱","上市上櫃","網址","電子信箱","股票過戶機構","股務代理電話","產業代號","產業名稱","英文產業名稱","產業指數代號","產業指數名稱","指數彙編分類代號","指數彙編分類","經營項目","國際證券編碼","統一編號","交易所公告股本(千)","交易所普通股股本(千)","交易所特別股股本(千)","交易所普通股股數(千)","交易所特別股股數(千)","普通股每股面額(元)","每股幣別","公告採用匯率","簽證會計師事務所","前年度內銷比重(%)","前年度外銷比重(%)","員工人數(人)"
"1101","台泥","2020","台泥","TCC","台灣水泥股份有限公司","Taiwan Cement Corp.","台北市中山北路2段113號","(02)2531-7099","(02)2531-6529","","","","","59414","19501229","19620209","","","","58","張安平","李鐘培","黃健強","資深副總經理","1","http://www.taiwancement.com","finance@taiwancement.com","中國信託商業銀行代理部","66365566","1","水泥工業","Cement","TWB11","水泥類","C11010","傳產-水泥","有關水泥及水泥製品之生產及運銷、有關水泥原料及水泥製品原料之開採製造運銷及附屬礦石之開採經銷、經營有關水泥工業及其附屬事業","TW0001101004","11913502","59414007.21","57385001.64","2000000","5738500.164","200000","10","NTD","","勤業眾信聯合會計師事務所","92.93","7.07","10651"
"1102","亞泥","2020","亞泥","ACC","亞洲水泥股份有限公司","Asia Cement Corporation","台北市大安區敦化南路2段207號30、31樓","02-2733-8000","02-2378-5191","","","","","33614","19570321","19620608","","","","58","徐旭東","李坤炎","周維崑","副總經理","1","http://www.acc.com.tw","service@acc.com.tw","亞東證券股份有限公司","02-7753-1699","1","水泥工業","Cement","TWB11","水泥類","C11010","傳產-水泥","水泥，水泥之半成品，水泥製品，預拌混凝土及其添加劑之生產運銷、水泥原料，水泥製品原料及砂石開採及爐石粉，石灰石粉之製造運銷、其他未述及之項目請參照本公司營業執照之所營事業","TW0001102002","03244509","33614471.98","33614471.98","","3361447.198","","10","NTD","","勤業眾信聯合會計師事務所","75.93","24.07","489"
"1103","嘉泥","2020","嘉泥","CHC","嘉新水泥股份有限公司","CHIA HSIN CEMENT CORPORATION","台北市中山北路2段96號","(02)2551-5211","(02)2511-4002","","","","","7748","19541213","19691114","","","","51","張剛綸","祁士鉅","王立心","執行副總經理","1","http://www.chcgroup.com.tw","ir@chcgroup.com.tw","群益金鼎證券股份有限公司股代部","(02)2702-3999","1","水泥工業","Cement","TWB11","水泥類","C11010","傳產-水泥","水泥、生產、銷售","TW0001103000","11892801","7747805.48","7747805.48","","774780.548","","10","NTD","","勤業眾信聯合會計師事務所","100","0","80"
"1104","環泥","2020","環泥","UCC","環球水泥股份有限公司","UNIVERSAL CEMENT CORPORATION","台北市南京東路二段125號10樓","02-25077801","02-25075870","","","","","6536","19600321","19710201","","","19710201","49","侯博義","侯智升","楊宗仁","副總經理","1","http://www.ucctw.com","ucc@ucctw.com","華南永昌綜合證券(股)股務代理部","02-27186425","1","水泥工業","Cement","TWB11","水泥類","C11010","傳產-水泥","水泥原料熟料及水泥製品原料之開採製造生產運銷、石膏板及其原料生產加工運銷，裝潢工程設計安裝、前各項有關產品之進出口代理銷售業務","TW0001104008","07568009","6536091.92","6536091.92","","653609.192","","10","NTD","","勤業眾信聯合會計師事務所","99.04","0.96","421"
"1108","幸福","2020","幸福","LUCKY CEMENT","幸福水泥股份有限公司","LUCKY CEMENT CO.","台北市松江路237號15樓","25092188","25048672","","","","","4047","19740507","19900606","","","19831128","30","陳兩傳","陳兩傳","溫秀菊","財務部經理","1","http://www.luckygrp.com.tw","wendy@luckygrp、com.tw","永豐金證券股務代理","2381-6288","1","水泥工業","Cement","TWB11","水泥類","C11010","傳產-水泥","有關水泥及水泥製品之工業及相關事業","TW0001108009","40601248","4047380.49","4047380.49","","404738.049","","10","NTD","","勤業眾信聯合會計師事務所","100","0","490"
"1109","信大","2020","信大","HsingTa","信大水泥股份有限公司","Hsing Ta Cement Co.Ltd","台北市寶慶路37號7樓","(02)23816731","23314086","","","","","3420","19640315","19911205","","","","29","楊智雄","楊大寬","吳連富","副總經理","1","http://www.hsingta.com.tw","service@hsingta.com.tw","中國信託商業銀行代理部","(02)6636-5566","1","水泥工業","Cement","TWB11","水泥類","C11010","傳產-水泥","有關水泥及水泥製品之生產及運銷","TW0001109007","03279507","3419578.68","3419578.68","","341957.868","","10","NTD","","資誠聯合會計師事務所","100","0","766"
"1110","東泥","2020","東泥","TUNA CEMENT","東南水泥股份有限公司","SOUTHEAST CEMENT CO.LTD.","高雄市前金區五福三路21號4樓之1","07-2711121","07-9505895","","","","","5720","19561228","19941022","","","","26","陳敏斷","吳長直","黃薪翰","財務部經理","1","http://www.southeastcement.com.tw","southeast@secement.com","元大證券股份有限公司","02-25865859","1","水泥工業","Cement","TWB11","水泥類","C11010","傳產-水泥","(1)水泥製造與買賣(2)石灰石之開採及銷售、(3)水泥加工製品及預拌混凝土之製造及銷售、(4)廠房及大樓出租業(5)廢棄物處理業","TW0001110005","83078600","5720007.97","5720007.97","","572000.797","","10","NTD","","國富浩華聯合會計師事務所","100","0","110"
"1201","味全","2020","味全","WEI CHUAN","味全食品工業股份有限公司","WEI CHUAN FOODS CORP.","台北市松江路125號","(02)25065020","(02)25063182","","","","","5061","19530922","19620209","","","","58","陳宏裕","張教華","黃國禎","財務長","1","http://www.weichuan.com.tw","service@weichuan.com.tw","元大證券股務代理部","(02)25865859","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","食品製造及販賣","TW0001201002","11347802","5060629.14","5060629.14","","506062.914","","10","NTD","","資誠聯合會計師事務所","99.08","0.92","3103"
"1203","味王","2020","味王","VE WONG","味王股份有限公司","VE WONG CORPORATION","台北市中山北路二段79號5樓","(02)25717271","(02)25811006","","","","","2400","19590704","19640824","","","","56","陳清福","陳恭平","魏璟雄","經理","1","http://www.vewong.com","wei@vewong.com.tw","群益金鼎證券股份有限公司","27023999","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","味精醬油罐頭調理速食品飲料等製造及營銷有關進出口業務、洋菸酒類及飲料之進口及經銷、汽車檢驗及修理","TW0001203008","07067309","2400000","2400000","","240000","","10","NTD","","大中國際聯合會計師事務所","94.98","5.02","1970"
"1210","大成","2020","大成","GREATWALL","大成長城企業股份有限公司","GREAT WALL ENTERPRISE CO. LTD.","台南市永康區蔦松二街三號","06-2531111","06-2534596","","","","","8273","19601228","19780520","","","","42","韓家宇","莊坤炎","周叔恆","特助","1","http://www.dachan.com","john@greatwall-group.com","中國信託商業銀行代理部","02-66365566","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","飼料51.67%、毛雞+肉品21.05%、其他17.85%、大宗物資+油脂9.42%(飼料、大宗油脂、肉品)","TW0001210003","73008303","8273390.86","8273390.86","","827339.086","","10","NTD","","安侯建業會計師事務所","","","2366"
"1213","大飲","2020","大飲","","大西洋飲料股份有限公司","OCEANIC BEVERAGES CO.INC.","新北市三重區重陽路三段99號10樓","(02)2982-0061","(02)2984-1154","","","","","566","19650724","19810410","","","","39","王鎮民","王鎮民(兼)","王鎮民","董事長","1","http://applesidra.com.tw","c5012903@ms23.hinet.net","大西洋飲料股份有限公司","(02)2982-0061","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","西打系列88.74%、寶特580系列6.32%、果汁系列2.51%、水系列2.28%、加工0.15%(製造蘋果汽水礦泉水及各種汽水飲料等之批發、經銷各國及國內有關飲料之產品副產品加工產品、百貨批發)","TW0001213007","35012903","566226.27","566226.27","","56622.627","","10","NTD","","南台聯合會計師事務所","94.12","5.88","114"
"1215","卜蜂","2020","卜蜂","CPE","台灣卜蜂企業股份有限公司","CHAROEN POKPH ENTERPRISE(TAIWAN) CO. LTD.","台北市松江路八十七號十七樓","02-25077071","02-25064137","","","","","2680","19770822","19870727","","","19850326","33","鄭武樾","許瑞通","劉明哲","特別助理","1","http://www.cptwn.com.tw","service@cptwn.com.tw","中國信託商業銀行代理部","02-66365566","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","各種飼料生產加工配製銷售進口及買賣、各種禽畜育種、電動屠宰業務及各種禽畜加工品製品銷售、各種肉類加工品與調理食品及蛋品生產銷售等業務","TW0001215002","36514783","2679909.98","2679909.98","","267990.998","","10","NTD","","資誠聯合會計師事務所","100","0","2409"
"1216","統一","2020","統一","UNI-PRESIDENT","統一企業股份有限公司","UNI-PRESIDENT ENTERPRISES CORP.","71001台南市永康區中正路301號","(06)253-2121","(06)253-2661","","","","","56820","19670825","19871228","","","19761028","32","羅智先","黃釗凱、李清田","陳國煇","財務長","1","https://www.uni-president.com.tw","jlian@mail.pec.com.tw","統一綜合證券(股)公司股務代理部","(02)2746-3797","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","食品事業、便利商店事業、流通事業、包裝容器事業、食糧事業、油品事業、其他(製藥事業、休閒開發事業、物流事業等)","TW0001216000","73251209","56820154.21","56820154.21","","5682015.421","","10","NTD","","資誠聯合會計師事務所","99.51","0.49","5370"
"1217","愛之味","2020","愛之味","AGV","愛之味股份有限公司","AGV PRODUCTS CORP.","嘉義縣民雄鄉工業二路11號","05-2211521-4","05-2216287","","","","","4945","19710626","19891028","","","","31","陳冠翰","陳志展","陳冠翰","董事長","1","http://www.agv.com.tw","YUEHCHU@mail.agv.com.tw","群益金鼎證券股份有限公司","02-27023999","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","食品","TW0001217008","65534366","4945133.36","4945133.36","","494513.336","","10","NTD","","國富浩華聯合會計師事務所","100","0","582"
"1218","泰山","2020","泰山","TAISUN","泰山企業股份有限公司","TAISUN ENTERPRISE CO.LTD.","彰化縣田中鎮興工路6號","04-8742211","04-8758989","","","","","5000","19501026","19891111","","","","31","詹逸宏","詹景超","劉韋辰","經理","1","http://www.taisun.com.tw","taisunir@taisun.com.tw","元大證券股份有限公司","02-25865859","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","各種食用油脂之精製及批發零售各種清涼飲料冷凍調理食品、各種禽畜魚類飼料之加工製造及買賣","TW0001218006","59661701","4999990.38","4999990.38","","499999.038","","10","NTD","","安侯建業聯合會計師事務所","96.49","3.51","918"
"1219","福壽","2020","福壽","FWUSOW","福壽實業股份有限公司","FWUSOW INDUSTRY CO.LTD","台中市沙鹿區沙田路45號","04-26362111","04-26358452","","","","","3220","19550207","19901201","","","","30","洪堯昆","洪碩嬪","王四全","特助","1","http://www.fwusow.com.tw","fwusow@fwusow.com.tw","凱基證券股份有限公司","02-23892999","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","食用油脂、動物飼料、穀物食品、寵物食品、有機肥料等生產及銷售、進出口國際貿易、大宗穀物進口與銷售","TW0001219004","56192402","3220138.87","3220138.87","","322013.887","","10","NTD","","群智聯合會計師事務所","98.51","1.49","622"
"1220","台榮","2020","台榮","TAIROUN","台榮產業股份有限公司","TAI  ROUN  PRODUCTS CO.LTD.","台北市中山區南京東路二段206號6樓","(02)2506-9521","(02)2507-7020","","","","","1771","19690313","19911120","","","","29","陳維恭","陳英凱","陳玉能","副總經理","1","http://www.tairoun.com.tw/","glen6572@tairoun.com.tw","中國信託商業銀行代理部","(02)66365566","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","飼料製造販賣、果糖製造販賣、玉米澱粉製造販賣","TW0001220002","03543210","1770779.44","1770779.44","","177077.944","","10","NTD","","立本台灣聯合會計師事務所","100","0","223"
"1225","福懋油","2020","福懋油","FOPCO","福懋油脂股份有限公司","FORMOSA OILSEED PROCESSING COLTD","台中市大肚區沙田路一段453號","25073121","(02)25071312","","","","","2187","19860418","19930927","","","","27","晉昇投資有限公司","許逸群","郭中儀","資深經理","1","http://www.fopco.com.tw","cherry.lin@fopco.com.tw","群益金鼎證券股份有限公司","02-27023999","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","麵粉，飼料，黃豆油，黃豆粉，大麥片，玉米粉之製造與銷售、家畜，家禽之養殖及肉類之加工銷售、一般進口貿易業務(許可業務除外)、","TW0001225001","22102298","2187030.51","2187030.51","","218703.051","","10","NTD","","勤業眾信聯合會計師事務所","95.97","4.03","406"
"1227","佳格","2020","佳格","S.F.C","佳格食品股份有限公司","STARD FOODS CORPORATION","台北市仁愛路三段136號5樓","2709-2323","2706-7955","","","","","9151","19860606","19940409","","","","26","曹德風","曹博睿","曹德風","董事長","1","http://www.sfworldwide.com/","spokesperson1@sfworldwide.com","中國信託商業銀行代理部","(02)6636-5566","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","嬰兒麥粉，麥片及相關產品之生產製造、食用油及滋養飲料粉之分裝，加工，銷售業務、一般進出口貿易","TW0001227007","22102473","9150895.91","9150895.91","","915089.591","","10","NTD","","勤業眾信聯合會計師事務所","52.24","47.76","3659"
"1229","聯華","2020","聯華","LHIHC","聯華實業投資控股股份有限公司","Lien Hwa Industrial Holdings Corporation","臺北市大同區承德路一段44號6樓","(02)2786-1188","(02)2786-3232","","","","","12815","19550720","19760719","","","","44","苗豐強","林信宏","林信宏","總經理","1","https://www.lhicholdings.com/","info@lhic.com.tw","中國信託商業銀行代理部","(02)6636-5566","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","一般投資業","TW0001229003","11996904","12814982.15","12814982.15","","1281498.215","","10","NTD","","安侯建業聯合會計師事務所","88.81","11.19","1630"
"1231","聯華食","2020","聯華食","Lian Hwa Foods","聯華食品工業股份有限公司","Lian Hwa Foods Corporation","台北市迪化街一段148號","(02)25534546","(02)25533479","","","","","1833","19700707","19951102","","","","25","李開源","林家齊","林志遠","財務處協理","1","http://www.lianhwa.com.tw","tomlin@lianhwa.com.tw","永豐金證券股份有限公司","(02)23816288","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","食品","TW0001231009","07569627","1833251.65","1833251.65","","183325.165","","10","NTD","","勤業眾信聯合會計師事務所","98.72","1.28","2068"
"1232","大統益","2020","大統益","TTET","大統益股份有限公司","TTET  UNION  CORPORATION","台南市官田區二鎮里工業西路32號","06-698-4500","06-698-5530","","","","","1600","19820524","19960209","","","","24","羅智先","陳昭良","陳昭良","總經理","1","http://www.ttet.com.tw","finance@mail.ttet.com.tw","統一綜合證券股份有限公司","02-2746-3797","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","黃豆油、粉加工，製造及銷售","TW0001232007","20927014","1599749.15","1599749.15","","159974.915","","10","NTD","","資誠聯合會計師事務所","97.97","2.03","392"
"1233","天仁","2020","天仁","Ten Ren","天仁茶業股份有限公司","Ten Ren Tea Co. Ltd.","台北市忠孝東路4段107號6樓","02-27765580","02-27403035","","","","","906","19751211","19990120","19970318","","19931127","23","李國麟","林仁宗","陳中智","財務暨行政協理","1","http://www.tenren.com.tw/","chafortea@tenren.com.tw","元大證券股份有限公司","02-25865859","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","茶葉製造加工、茶葉製品買賣、茶相關製品","TW0001233005","18559415","905919.48","905919.48","","90591.948","","10","NTD","","安永聯合會計師事務所","80.34","19.66","1567"
"1234","黑松","2020","黑松","HEY-SONG","黑松股份有限公司","HEY-SONG CORPORATION","台北市信義路四段296號3樓","(02)2706-2191","(02)2755-2119","","","","","4019","19691213","19990312","","","","21","張斌堂","張斌堂","杜居燦","財務處處長","1","http://www.heysong.com.tw","heysong@heysong.com.tw","宏遠證券股份有限公司股務代理部","(02)7719-8899","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","碳酸飲料，酒類，果蔬汁，咖啡飲料，運動飲料等","TW0001234003","20651901","4018710.94","4018710.94","","401871.094","","10","NTD","","勤業眾信聯合會計師事務所","97.63","2.37","555"
"1235","興泰","2020","興泰","ST","興泰實業股份有限公司","SHIN TAI INDUSTRY CO.LTD.","高雄市仁武區高楠公路10號","07-3425301-5","07-3425694","","","","","990","19721115","20000911","","","","20","吳星澄","吳星澄","葉文隆","法務處經理","1","http://www.shintai-feed.com.tw","shintai1235@seed.net.tw","國票綜合證券股份有限公司","02-25936666","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","飼料","TW0001235000","85617982","989554.36","989554.36","","98955.436","","10","NTD","","國富浩華聯合會計師事務所","100","0","23"
"1236","宏亞","2020","宏亞","Hunya","宏亞食品股份有限公司","HUNYA  FOODS  CO; LTD.","新北市新店區寶興路45巷8弄3號5樓","(02)29180786","(02)29180706","","","","","1083","19760614","20010917","19980508","","19940827","22","張云綺","張云綺","余彩雲","財務經理","1","http://www.hunya.com.tw","hunya.com.tw","群益金鼎證券股份有限公司","(02)2702-3999","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","糖果、餅乾、巧克力之製造、加工及買賣、月餅、西點、麵包糕餅等食品之製造、加工及買賣、七七巧克力、禮坊名店、","TW0001236008","34106066","1083425.1","1083425.1","","108342.51","","10","NTD","","安永聯合會計師事務所","91.29","8.71","691"
